"","new_id1","cond","Arial","Sans Forgetica"
"1","1","High Test Expectancy",7.42663391173838,7.45518573794116
"2","2","High Test Expectancy",8.15599828996635,7.90110827242806
"3","3","High Test Expectancy",5.68905909384597,6.42593949322744
"4","4","High Test Expectancy",8.61365035090964,8.67940594582558
"5","5","Low Test Expectancy",5.47591209149548,5.62744341871269
"6","6","Low Test Expectancy",7.51964153684882,7.74132168856283
"7","7","High Test Expectancy",8.16837063675797,8.10703999608825
"8","8","High Test Expectancy",7.69966961397072,7.45728160707627
"9","9","High Test Expectancy",7.71989385381174,7.64166032429534
"10","10","Low Test Expectancy",5.19082711410119,5.23776743522845
"11","11","High Test Expectancy",7.66252857132138,7.5731786716824
"12","12","Low Test Expectancy",7.33517198209067,7.30426357284682
"13","13","Low Test Expectancy",8.13045524659081,8.33720844576481
"14","14","Low Test Expectancy",7.44927349796466,7.42009279439646
"15","15","High Test Expectancy",7.73056152643743,7.72318730853414
"16","16","Low Test Expectancy",8.37780913626474,8.58649724442726
"17","17","Low Test Expectancy",7.74908904617417,7.88604266582631
"18","18","Low Test Expectancy",7.19014306528593,7.25014833339145
"19","19","Low Test Expectancy",6.69783066675791,6.89771127814872
"20","20","Low Test Expectancy",7.66262115874298,7.45304898794672
"21","21","Low Test Expectancy",7.28377722297658,7.46697361367439
"22","22","High Test Expectancy",7.68424619753956,7.44879958350826
"23","23","Low Test Expectancy",7.08270373482394,7.1864143282162
"24","24","Low Test Expectancy",6.92763969945877,7.30230978385198
"25","25","High Test Expectancy",7.22924317132,7.26981431291414
"26","26","High Test Expectancy",6.56046325715038,6.73354895280512
"27","27","High Test Expectancy",7.57912644019489,8.22711612938376
"28","28","Low Test Expectancy",7.51474133433778,7.5832273417151
"29","29","Low Test Expectancy",6.89967529442156,6.91387780158176
"30","30","High Test Expectancy",7.9059850806439,7.92274772891511
"31","31","High Test Expectancy",7.40917671178384,7.29182810363888
"32","32","Low Test Expectancy",7.24694695349522,7.18156233427931
"33","33","Low Test Expectancy",7.42098501056481,7.42383935577868
"34","34","High Test Expectancy",7.46885996672048,7.2551165788816
"35","35","High Test Expectancy",5.7855295702925,6.26736485857711
"36","36","Low Test Expectancy",8.12123104321345,8.27874924972188
"37","37","Low Test Expectancy",6.90300946824299,6.82224390464268
"38","38","Low Test Expectancy",6.85496094064,6.79319519897253
"39","39","Low Test Expectancy",6.64046050755673,6.95537098712085
"40","40","Low Test Expectancy",7.67729870965396,7.70233846872105
"41","41","Low Test Expectancy",8.20566600820967,8.27133106275531
"42","42","Low Test Expectancy",6.9249048354323,7.05430194317196
"43","43","Low Test Expectancy",7.41679244352041,7.52836699819338
"44","44","High Test Expectancy",7.69608600543488,7.52645686601321
"45","45","Low Test Expectancy",7.28761259051343,7.40896512829963
"46","46","High Test Expectancy",7.36579271946408,7.24527561289515
"47","47","Low Test Expectancy",7.39526359246134,7.24984164007427
"48","48","Low Test Expectancy",7.42341807561292,7.41089098521683
"49","49","Low Test Expectancy",7.4937139367766,7.59496166487943
"50","50","Low Test Expectancy",7.92569223280427,7.91211911385893
"51","51","Low Test Expectancy",7.38332540488131,7.05904680049447
"52","52","Low Test Expectancy",6.5675729217914,6.61830355680149
"53","53","High Test Expectancy",7.7001280919218,7.79939085567395
"54","54","High Test Expectancy",7.06839492753233,7.11147587072613
"55","55","High Test Expectancy",7.22109403511823,7.20103845631772
"56","56","Low Test Expectancy",7.09168284659767,7.10135733124401
"57","57","Low Test Expectancy",7.08516890952556,7.27518546349759
"58","58","High Test Expectancy",7.9036540464123,8.18097462828469
"59","59","High Test Expectancy",6.78234703834487,6.86152127098632
"60","60","Low Test Expectancy",7.19034588403319,7.38186940189622
"61","61","High Test Expectancy",9.03091215931051,8.98908185935732
"62","62","High Test Expectancy",7.62804556989639,7.79481375535192
"63","63","Low Test Expectancy",6.69452273112435,6.93829313889752
"64","64","High Test Expectancy",7.75350162358277,7.98416300846563
"65","65","Low Test Expectancy",7.14635752899813,7.06280108505277
"66","66","High Test Expectancy",7.61941013392237,7.87356895340245
"67","67","Low Test Expectancy",7.38667554070107,7.49529106401479
"68","68","High Test Expectancy",5.54881993546046,6.06036659914975
"69","69","High Test Expectancy",8.92470385913182,8.88537020524976
"70","70","Low Test Expectancy",6.15129080154634,6.28278624411923
"71","71","Low Test Expectancy",6.81157758456462,7.10485792099356
"72","72","High Test Expectancy",7.00797489144231,6.97590403557801
"73","73","Low Test Expectancy",6.45664217310937,6.57746168450084
"74","74","High Test Expectancy",9.02189734500418,9.07113122150362
