Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-85j6,branch-4ivo,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,imagefile,ANSWER,CUE, TARGET,font
11,1592803331349,22/06/2020 05:22:11,1592803329710,-7,21/06/2020 22:22:09,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,13,9,1,Screen 2,Zone2,continue_button,873.1600000000981,,,,,0,1,0,,,,,1,study,contact-a.jpeg,,LENS,CONTACT,a
12,1592803332053,22/06/2020 05:22:12,1592803330443,-7,21/06/2020 22:22:10,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,4,10,1,Screen 2,Zone2,continue_button,703.0449999992925,,,,,0,1,0,,,,,1,study,potato-sf.jpeg,,CHIP,POTATO,sf
13,1592803333433,22/06/2020 05:22:13,1592803331820,-7,21/06/2020 22:22:11,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,6,11,1,Screen 2,Zone2,continue_button,1366.9200000003912,,,,,0,1,0,,,,,1,study,boss-a.jpeg,,EMPLOYEE,BOSS,a
14,1592803334301,22/06/2020 05:22:14,1592803332673,-7,21/06/2020 22:22:12,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,14,12,1,Screen 2,Zone2,continue_button,826.7550000000483,,,,,0,1,0,,,,,1,study,article-a.jpeg,,MAGAZINE,ARTICLE,a
15,1592803335246,22/06/2020 05:22:15,1592803333621,-7,21/06/2020 22:22:13,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,2,13,1,Screen 2,Zone2,continue_button,915.8349999997881,,,,,0,1,0,,,,,1,study,crash-a.jpeg,,ACCIDENT,CRASH,a
16,1592803336996,22/06/2020 05:22:16,1592803335367,-7,21/06/2020 22:22:15,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,18,14,1,Screen 2,Zone2,continue_button,1722.4550000000818,,,,,0,1,0,,,,,1,study,wheel-sf.jpeg,,TIRE,WHEEL,sf
17,1592803338168,22/06/2020 05:22:18,1592803336548,-7,21/06/2020 22:22:16,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,19,15,1,Screen 2,Zone2,continue_button,1150.195000000167,,,,,0,1,0,,,,,1,study,patience-a.jpeg,,VIRTUE,PATIENCE,a
18,1592803339232,22/06/2020 05:22:19,1592803337599,-7,21/06/2020 22:22:17,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,8,16,1,Screen 2,Zone2,continue_button,1022.0650000001115,,,,,0,1,0,,,,,1,study,protect-sf.jpeg,,GUARD,PROTECT,sf
19,1592803340078,22/06/2020 05:22:20,1592803338460,-7,21/06/2020 22:22:18,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,5,17,1,Screen 2,Zone2,continue_button,827.6550000000498,,,,,0,1,0,,,,,1,study,swim-a.jpeg,,DIVE,SWIM,a
20,1592803341282,22/06/2020 05:22:21,1592803339664,-7,21/06/2020 22:22:19,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,3,18,1,Screen 2,Zone2,continue_button,1176.1999999998807,,,,,0,1,0,,,,,1,study,deaf-sf.jpeg,,BLIND,DEAF,sf
