"","participant_private_id","testexpt","normal","SF"
"1",1468535,"low",509.38000000934,580.065851070066
"2",1468536,"low",1253.37500000704,1057.37308510505
"3",1468541,"low",634.936170212766,873.787234042553
"4",1468544,"low",1555.1914893617,1698.5744680851
"5",1468550,"low",908.896489368573,1288.59127659792
"6",1468560,"low",706.673723392862,852.782021271699
"7",1468563,"low",663.168085106357,575.089361702223
"8",1468569,"low",852.042765959112,926.364574468685
"9",1468571,"low",1596.59925531974,1302.21340425301
"10",1468572,"low",1262.26914893004,1395.46010637795
"11",1468573,"low",812.7068085106,1067.72851063832
"12",1468579,"low",654.683617003104,885.685425534091
"13",1468582,"low",532.595744680851,513.787234042553
"14",1468587,"low",815.168510638072,1472.00244680882
"15",1468590,"low",798.326808483677,1105.68457447547
"16",1468591,"low",930.258617028,954.467659575884
"17",1468594,"low",652.702127658871,681.451063830111
"18",1468597,"low",1029.50936170213,998.184680851062
"19",1468599,"low",908.350212765149,999.988297871785
"20",1468601,"low",655.556063831566,908.307978719909
"21",1468602,"low",1026.22553191465,1347.63893617213
"22",1468604,"low",363.141382978783,307.484999999399
"23",1468605,"low",2706.08510638298,2774.08510638298
"24",1468611,"low",980.342234040863,725.035319148756
"25",1468614,"low",357.170212765957,400.212765957447
"26",1468615,"low",1834.45734041991,1806.95510638798
"27",1468618,"low",3264.01510647439,2601.02031918916
"28",1468621,"low",603.057446801649,831.83617020977
"29",1468623,"low",625.833510637947,1326.73553191311
"30",1468624,"low",863.672021286007,889.249148932187
"31",1468626,"low",539.12978723422,512.799999999883
"32",1468628,"low",470.150319148664,542.20191489359
"33",1468630,"low",520.536595744798,1085.54489361763
"34",1468634,"low",1390.33659571841,1400.22872341301
"35",1468635,"low",1052.38021276966,1167.40148936081
"36",1468637,"low",1349.96638296449,1866.37925532983
"37",1468638,"low",1464.44159574469,1778.16968085105
"38",1468640,"low",389.125425532024,359.184787234049
"39",1468642,"low",1198.87234042553,1330.44680851064
"40",1468643,"low",1363.01563829283,1458.30468086902
"41",1468644,"low",991.702127659575,1125.29787234043
"42",1468645,"low",938.154468086221,1270.21063829183
"43",1468646,"low",984.369148941156,2342.99085106938
"44",1468649,"low",2740.88021277876,429.722127678031
"45",1468650,"low",449.332340428497,412.019787234888
"46",1468652,"low",1148.42978722733,1543.3829787108
"47",1468653,"low",1892.35180851191,581.98521276713
"48",1468654,"low",1052.51617021512,1175.01872340638
"49",1468656,"low",497.006276594549,572.56457447
"50",1468657,"low",2096.71414893757,2348.80755319133
"51",1468658,"low",1114.74468085106,1089.27659574468
"52",1468660,"low",1156.31925532139,1111.37904255017
"53",1468661,"low",451.361914888579,485.949574469371
"54",1468662,"low",650.410212766493,777.758829787923
"55",1468671,"low",1204.5507446833,1024.39074468195
"56",1468682,"low",657.104255319474,642.697872338876
"57",1468683,"low",1747.31255319072,1513.21957446635
"58",1468722,"low",1007.39063829783,732.410212765896
"59",1468743,"low",3700.35446808485,3875.2110638356
"60",1468744,"low",386.449255326644,393.380531914869
"61",1499704,"high",820.740212765931,743.945957446023
"62",1499712,"high",1020.30585106324,1184.14617021335
"63",1499719,"high",1228.37191489723,1378.22840425206
"64",1499720,"high",2849.44819148873,3413.03276595972
"65",1499723,"high",1105.53191489362,1342.17021276596
"66",1499727,"high",657.765957446809,698.851063829787
"67",1499733,"high",694.099574481097,848.897765960267
"68",1499735,"high",1144.66957446808,1063.37947916677
"69",1499738,"high",1024.85106382979,1797.48936170213
"70",1499742,"high",1108.08510638298,1167.53191489362
"71",1499745,"high",884.701808510185,834.525425531381
"72",1499748,"high",530.664042553287,693.013297872893
"73",1499751,"high",872.058723404253,1160.09904255319
"74",1499757,"high",546.051595744583,964.409042553211
"75",1499759,"high",3703.61861702738,3504.2925531966
"76",1499760,"high",420.940851060763,600.003297869834
"77",1499762,"high",348.640212769363,309.153936203926
"78",1499764,"high",1630.97872340426,1803.25531914894
"79",1499765,"high",2310.29819148937,2378.52765957444
"80",1499766,"high",664.323617025536,665.108404256047
"81",1499767,"high",731.727021279438,810.771595747359
"82",1499770,"high",327.78808510638,398.114893617102
"83",1499771,"high",479.076489345468,544.666808509724
"84",1499772,"high",3920.06010638223,3876.27595744066
"85",1499773,"high",2081.79723404246,670.965851062909
"86",1499775,"high",1259.35882978647,1340.82500000071
"87",1499777,"high",934.538829789009,1044.033936171
"88",1499778,"high",1686.48936170213,2148.95744680851
"89",1499780,"high",5043.54148935601,3220.54744681016
"90",1499782,"high",2874.0526595744,1804.56936170207
"91",1499784,"high",562.723404255319,631.340425531915
"92",1499789,"high",551.831914897156,668.410744686472
"93",1499793,"high",900.461170222967,1078.37904255064
"94",1499802,"high",741.445000000161,742.621702127469
"95",1499867,"high",493.68085106383,463.617021276596
"96",1499880,"high",292.834255319557,433.66372340391
"97",1531474,"low",750.347340422524,828.781489358393
"98",1531487,"low",3818.70212765957,2398.55319148936
"99",1531488,"low",634.918936166635,579.327872330125
"100",1531494,"low",6785.6170212766,7582.85106382979
"101",1531503,"low",472.765212765982,545.987021276543
"102",1531504,"low",1252.32882978715,1178.54106382962
"103",1531518,"low",1271.67808508966,1986.75340425441
"104",1531520,"low",597.274042552949,882.614042553425
"105",1531522,"low",830.23351063906,1183.55659574538
"106",1531528,"low",3981.91489361702,4862.42553191489
"107",1531532,"low",1272.08553191491,1855.20085106384
"108",1531534,"low",933.971063829844,1221.37765957473
"109",1531536,"low",1068.80361702127,1110.18999999999
"110",1531537,"low",1568.77510638182,1816.03744680909
"111",1531542,"low",621.518404255225,659.149042561036
"112",1531544,"low",1993.14893617021,2980.87234042553
"113",1531546,"low",4649.74117021577,906.50148936696
"114",1531550,"low",1012.83180853352,1061.71287235586
"115",1531551,"low",559.501702127547,621.354148936162
"116",1531554,"low",909.561595744715,806.956914893664
"117",1531555,"low",866.634787208936,1072.94936174963
"118",1531556,"low",1423.15468085841,1594.45904255003
"119",1531557,"low",2070.1232978658,1435.36691491968
"120",1531560,"low",1207.67351064058,1386.87989361921
"121",1531561,"low",399.765957446808,359.872340425532
"122",1531566,"low",1034.51574467955,1161.45925531709
"123",1531569,"low",834.633723406636,942.398297867956
"124",1531571,"low",8044.97989360738,2436.19957447864
"125",1531572,"low",1915.90734042148,1163.617340402
"126",1531574,"low",317.074893612137,357.943404254137
"127",1531581,"low",1199.53127659392,1128.45255319212
"128",1531585,"low",1369.04755318686,1729.85914893488
"129",1531586,"low",602.772127659648,534.095531914918
"130",1531588,"low",670.176595743892,631.493617019782
"131",1531590,"low",651.431276590534,634.85010637545
"132",1531591,"low",1062.05989361959,1112.41648934702
"133",1531592,"low",1043.82978723404,1097.93617021277
"134",1531593,"low",14168.4573404254,5173.01457446794
"135",1531600,"low",1257.0164893617,1795.68723404255
"136",1531605,"low",829.945638297872,1095.66287234043
"137",1531607,"low",910.446808510638,1038.78723404255
"138",1531612,"high",529.575638297172,943.878617021255
"139",1531613,"low",626.995638298971,697.774787234053
"140",1531615,"low",636.100744650243,734.824893619627
"141",1531620,"low",585.140319142312,842.281914890764
"142",1531621,"low",685.441702128106,684.281276597795
"143",1531622,"low",511.97585105361,582.137659578485
"144",1531625,"low",493.733085106387,1681.31829787238
"145",1531626,"low",4054.23053191043,3807.74021276491
"146",1531628,"low",805.874468085057,758.308085106364
"147",1531632,"low",1004.88670212663,1070.65989362433
"148",1531634,"high",1696.72925533489,3307.26085107853
"149",1531638,"low",885.702127659574,611.617021276596
"150",1531639,"low",571.495531915756,653.242553194162
"151",1531640,"low",895.703829789628,893.903617022009
"152",1531643,"low",3492.45851064854,2727.24148940216
"153",1531644,"low",458.05755319158,549.436276599002
"154",1531645,"low",626.404255319149,725.382978723404
"155",1531647,"low",13445.7437234056,4889.26382978761
"156",1531654,"low",742.709148938995,729.075531912423
"157",1531656,"high",1475.91489361702,1460.63829787234
"158",1531657,"low",653.127659574469,729.702127659573
"159",1531663,"low",1720.4285106483,1883.24808506691
"160",1531664,"low",660.941914900483,685.042872348741
"161",1531665,"low",507.306595744244,1043.90978723429
"162",1531666,"low",690.185212765503,594.180957453841
"163",1531669,"low",953.988510637886,862.514042553735
"164",1531670,"low",4698.92553191606,4767.67659574274
"165",1531671,"low",192.591702128374,396.758191491244
"166",1531677,"low",1257.69563831706,1678.68670211867
"167",1531679,"low",808.102872341554,1645.27585108745
"168",1531680,"low",1960.77212765615,1692.3858510687
"169",1531684,"low",1863.57734042551,935.754574468039
"170",1531688,"low",412.472553206905,413.456914899375
"171",1531691,"low",1093.72340425532,1043.68085106383
"172",1531692,"low",826.031276604478,1171.62127659577
"173",1531693,"low",768.042553191489,973.851063829787
"174",1531695,"low",626.468085106383,764.574468085106
"175",1531696,"low",2047.36170212766,1719.72340425532
"176",1531697,"low",1745.97531914751,2060.94936169981
"177",1531698,"low",1354.98414893648,1724.66478723421
"178",1531699,"high",837.062446806738,1041.5690425558
"179",1531702,"low",2615.06148936206,795.127021276982
"180",1531704,"low",999.091489349512,1273.06585107246
"181",1531705,"high",950.896489361494,806.552659571567
"182",1531706,"low",468.122127662819,498.055638299581
