"","participant_private_id","testexpt","Arial","Sans Forgetica"
"1",1531474,"Low Test Expectancy",6.51376396936698,6.56983842423165
"2",1531487,"Low Test Expectancy",6.47287094357174,6.52697618756132
"3",1531488,"Low Test Expectancy",6.1063105632201,6.1520092413813
"4",1531494,"Low Test Expectancy",8.76862752559774,8.82236990740006
"5",1531503,"Low Test Expectancy",6.02288510172445,6.09956709064028
"6",1531504,"Low Test Expectancy",7.10893123331418,7.04607080460443
"7",1531518,"Low Test Expectancy",7.04447835270233,7.39299171301984
"8",1531520,"Low Test Expectancy",6.26255322333161,6.31206782873721
"9",1531522,"Low Test Expectancy",6.62584341636216,6.76782991698172
"10",1531528,"Low Test Expectancy",7.22836496416783,7.2598448803861
"11",1531532,"Low Test Expectancy",5.66313095757574,5.7079592753908
"12",1531534,"Low Test Expectancy",6.67157669477099,6.77965394812659
"13",1531536,"Low Test Expectancy",6.88761736590012,6.92290753000113
"14",1531537,"Low Test Expectancy",7.2156302851221,7.3200418326951
"15",1531542,"Low Test Expectancy",6.35442335452636,6.41417578319052
"16",1531544,"Low Test Expectancy",7.22999138920275,7.68474280976919
"17",1531546,"Low Test Expectancy",6.65270247704291,6.48197728475852
"18",1531550,"Low Test Expectancy",6.46009476741175,6.54069291491647
"19",1531551,"Low Test Expectancy",6.16874902525217,6.32222287750673
"20",1531554,"Low Test Expectancy",6.50491581723261,6.48654761814392
"21",1531555,"Low Test Expectancy",6.71672389777489,6.78584345784413
"22",1531556,"Low Test Expectancy",7.09806503594939,7.27699146048925
"23",1531557,"Low Test Expectancy",6.68601525587551,6.81224417706365
"24",1531560,"Low Test Expectancy",6.95248369505912,7.06644363091863
"25",1531561,"Low Test Expectancy",5.73783173015879,5.63530136952779
"26",1531566,"Low Test Expectancy",6.77163840448901,6.90166085985903
"27",1531569,"Low Test Expectancy",6.63986454402118,6.67166111870687
"28",1531571,"Low Test Expectancy",6.82823111569863,6.7912584190142
"29",1531572,"Low Test Expectancy",6.86945440659594,6.84910031678287
"30",1531574,"Low Test Expectancy",5.60732128807769,5.77034452886252
"31",1531581,"Low Test Expectancy",6.98929485376995,6.96463627887857
