"","id","font","cond","acc"
"82","5c49a5f7cfaf510001550a96","SF","timed",0.5
"83","5c4ac37abe23f50001e7f8b4","flu","self-paced",0.166666666666667
"84","5c4ac37abe23f50001e7f8b4","SF","self-paced",0.25
"85","5c51bcaeb7449200013a8517","flu","timed",0.166666666666667
"86","5c51bcaeb7449200013a8517","SF","timed",0.666666666666667
"87","5c5258cfef90a30001840860","flu","self-paced",0.0833333333333333
"88","5c5258cfef90a30001840860","SF","self-paced",0.0833333333333333
"89","5c52c825ea00280001fce29d","flu","timed",0.166666666666667
"90","5c52c825ea00280001fce29d","SF","timed",0.333333333333333
"91","5c5f933f59ec1d0001fe64e7","flu","timed",0.5
"92","5c5f933f59ec1d0001fe64e7","SF","timed",0.75
"93","5c5fd4ac52115f0001910a1f","flu","timed",0.25
"94","5c5fd4ac52115f0001910a1f","SF","timed",0.416666666666667
"95","5c6f97ffd8ae4f000192fe18","flu","self-paced",0.333333333333333
"96","5c6f97ffd8ae4f000192fe18","SF","self-paced",0.333333333333333
"97","5c7070519f9392000150023c","flu","self-paced",0
"98","5c7070519f9392000150023c","SF","self-paced",0.0833333333333333
"99","5c742339e621f900163f4543","flu","self-paced",0.333333333333333
"100","5c742339e621f900163f4543","SF","self-paced",0.583333333333333
"101","5c75471e5eb59f000131c7a4","flu","self-paced",0.25
"102","5c75471e5eb59f000131c7a4","SF","self-paced",0.0833333333333333
"103","5c856d52bce73c00018c4508","flu","timed",0.0833333333333333
"104","5c856d52bce73c00018c4508","SF","timed",0.166666666666667
"105","5c888f3ba869d400019acb49","flu","self-paced",0.666666666666667
"106","5c888f3ba869d400019acb49","SF","self-paced",0.666666666666667
"107","5c8961a1d810a700149dcfda","flu","self-paced",0.0833333333333333
"108","5c8961a1d810a700149dcfda","SF","self-paced",0.0833333333333333
"109","5cb147e6c567c000012a6d51","flu","self-paced",0.5
"110","5cb147e6c567c000012a6d51","SF","self-paced",0.666666666666667
"111","5cb1cd86637a05000187532b","flu","self-paced",0.333333333333333
"112","5cb1cd86637a05000187532b","SF","self-paced",0.333333333333333
"113","5cba9a8a214b1a0016ccf708","flu","self-paced",0.666666666666667
"114","5cba9a8a214b1a0016ccf708","SF","self-paced",0.333333333333333
"115","5cbdc6f1214b1a0015ccfbab","flu","timed",0
"116","5cbdc6f1214b1a0015ccfbab","SF","timed",0.333333333333333
"117","5ce753de5434fd001b47e9fc","flu","timed",0.583333333333333
"118","5ce753de5434fd001b47e9fc","SF","timed",0.583333333333333
"119","5ce85638c13fb9001a9d0d32","flu","self-paced",0.5
"120","5ce85638c13fb9001a9d0d32","SF","self-paced",0.416666666666667
"121","5d16ab9b59da87001ac41a61","flu","timed",0.166666666666667
"122","5d16ab9b59da87001ac41a61","SF","timed",0.333333333333333
"123","5d1d0270601cd7000172942f","flu","self-paced",0.333333333333333
"124","5d1d0270601cd7000172942f","SF","self-paced",0.666666666666667
