key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,54.36351,0.150132643,0.012732088,1,0,0,7.36793,cont1,0,0,0,12,1,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,546a979ffdf99b3f01f121a2,2020-12-28_17h42.50.491,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea5f5d43c578a96a11acbb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,23,1,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,546a979ffdf99b3f01f121a2,2020-12-28_17h42.50.491,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea5f5d43c578a96a11acbb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,18,1,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,546a979ffdf99b3f01f121a2,2020-12-28_17h42.50.491,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea5f5d43c578a96a11acbb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,546a979ffdf99b3f01f121a2,2020-12-28_17h42.50.491,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea5f5d43c578a96a11acbb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,20,1,0.067,0.047,0.02,stick,branch,flu,images/stick-branch-arial1.png,546a979ffdf99b3f01f121a2,2020-12-28_17h42.50.491,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea5f5d43c578a96a11acbb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,10,1,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,546a979ffdf99b3f01f121a2,2020-12-28_17h42.50.491,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea5f5d43c578a96a11acbb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,22,1,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,546a979ffdf99b3f01f121a2,2020-12-28_17h42.50.491,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea5f5d43c578a96a11acbb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,546a979ffdf99b3f01f121a2,2020-12-28_17h42.50.491,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea5f5d43c578a96a11acbb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,8,8,7,1,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,546a979ffdf99b3f01f121a2,2020-12-28_17h42.50.491,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea5f5d43c578a96a11acbb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,9,9,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,546a979ffdf99b3f01f121a2,2020-12-28_17h42.50.491,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea5f5d43c578a96a11acbb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
