key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
,,,,,,,,,0,16,16,18,1,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,17,17,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,18,18,15,1,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,19,19,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,20,20,21,1,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,21,21,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,22,22,19,1,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,23,23,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,97.9638009,5.334535,100,1.21268,-0.02413273,-0.398944193,1,0,0,7.013845,polygon,,0.107088989,-0.000754148,1,0,0,1.51047,polygon_2,1,native,0,0,0,10,1,,,,,,,
,,,,,,,,,,,,,,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,,0.079939668,0.008295626,1,0,0,1.47757,polygon_2,1,people,0,1,1,15,1,,,,,,,
