key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
,,,,,,,,,,,,,,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,5be74b8dd153f500019a6ace,2020-12-28_14h30.30.825,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea5c6febffe458d961c8cb,70.33639144,11.497,70.18348624,5.596,0,-0.408256881,1,0,0,14.972,polygon,cover,0.117737003,-0.018348624,1,0,0,3.833,polygon_2,1,sheet,0,0,0,19,1,,,,,,,
,,,,,,,,,,,,,,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,5be74b8dd153f500019a6ace,2020-12-28_14h30.30.825,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea5c6febffe458d961c8cb,,,,,,,,,,,,paper,-0.119266055,-0.016819572,1,0,0,1.4,polygon_2,1,office,0,1,1,13,1,,,,,,,
,,,,,,,,,,,,,,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,5be74b8dd153f500019a6ace,2020-12-28_14h30.30.825,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea5c6febffe458d961c8cb,,,,,,,,,,,,,0,-0.314984709,1,0,0,2.566,polygon_2,1,curve,0,2,2,4,1,,,,,,,
,,,,,,,,,,,,,,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,5be74b8dd153f500019a6ace,2020-12-28_14h30.30.825,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea5c6febffe458d961c8cb,,,,,,,,,,,,,0.00764526,-0.322629969,1,0,0,1.721,polygon_2,1,people,0,3,3,15,1,,,,,,,
,,,,,,,,,,,,,,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,5be74b8dd153f500019a6ace,2020-12-28_14h30.30.825,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea5c6febffe458d961c8cb,,,,,,,,,,,,,0.00764526,-0.322629969,1,0,0,1.937,polygon_2,1,report,0,4,4,18,1,,,,,,,
,,,,,,,,,,,,,,0.027,0.041,0.014,group,meeting,flu,images/group-meeting-arial1.png,5be74b8dd153f500019a6ace,2020-12-28_14h30.30.825,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea5c6febffe458d961c8cb,,,,,,,,,,,,,0.00764526,-0.322629969,1,0,0,1.006,polygon_2,1,group,0,5,5,7,1,,,,,,,
,,,,,,,,,,,,,,0.039,0.02,0.019,throat ,voice ,flu,images/throat-voice-arial1.png,5be74b8dd153f500019a6ace,2020-12-28_14h30.30.825,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea5c6febffe458d961c8cb,,,,,,,,,,,,,0.00764526,-0.322629969,1,0,0,1.04,polygon_2,1,throat ,0,6,6,22,1,,,,,,,
,,,,,,,,,,,,,,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,5be74b8dd153f500019a6ace,2020-12-28_14h30.30.825,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea5c6febffe458d961c8cb,,,,,,,,,,,,supper,-0.0382263,-0.010703364,1,0,0,1.174,polygon_2,1,lunch,0,7,7,8,1,,,,,,,
,,,,,,,,,,,,,,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,5be74b8dd153f500019a6ace,2020-12-28_14h30.30.825,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea5c6febffe458d961c8cb,,,,,,,,,,,,story,-0.134556575,-0.018348624,1,0,0,1.469,polygon_2,1,novel,0,8,8,11,1,,,,,,,
,,,,,,,,,,,,,,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,5be74b8dd153f500019a6ace,2020-12-28_14h30.30.825,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea5c6febffe458d961c8cb,,,,,,,,,,,,,0.00764526,-0.324159021,1,0,0,2.635,polygon_2,1,train,0,9,9,23,1,,,,,,,
