key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,7.904,-0.000782473,-0.308685446,1,0,0,6.9,cont1,0,0,0,18,1,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,5f430c46a5518f171572f8d1,2020-12-28_15h54.48.999,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea622b957b615942f862d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,0,1,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,5f430c46a5518f171572f8d1,2020-12-28_15h54.48.999,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea622b957b615942f862d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,23,1,0.051,0.049,0.002,train,plane,SF,images/train-plane-sf.png,5f430c46a5518f171572f8d1,2020-12-28_15h54.48.999,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea622b957b615942f862d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,16,1,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,5f430c46a5518f171572f8d1,2020-12-28_15h54.48.999,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea622b957b615942f862d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,1,1,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,5f430c46a5518f171572f8d1,2020-12-28_15h54.48.999,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea622b957b615942f862d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,4,1,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,5f430c46a5518f171572f8d1,2020-12-28_15h54.48.999,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea622b957b615942f862d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,9,1,0.042,0.055,0.013,nation,state,SF,images/nation-state-sf.png,5f430c46a5518f171572f8d1,2020-12-28_15h54.48.999,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea622b957b615942f862d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,11,1,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,5f430c46a5518f171572f8d1,2020-12-28_15h54.48.999,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea622b957b615942f862d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,8,8,21,1,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,5f430c46a5518f171572f8d1,2020-12-28_15h54.48.999,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea622b957b615942f862d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,9,9,13,1,0.014,0.01,0.004,office,doctor ,SF,images/office-doctor-sf.png,5f430c46a5518f171572f8d1,2020-12-28_15h54.48.999,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea622b957b615942f862d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
