"","participant_private_id","testexpect","Arial","Sans Forgetica"
"1",1531474,"low",0.663131927035645,0.537837001018444
"2",1531487,"low",-0.107676933379305,0.107059392414909
"3",1531488,"low",0.85324568258,1.06306454033039
"4",1531494,"low",3.57234361866778,3.57234361866778
"5",1531503,"low",0.0562459214785151,-0.187764138083095
"6",1531504,"low",1.34485105342667,0.738692233926121
"7",1531518,"low",0.845605353607976,0.859327041985631
"8",1531520,"low",0,-0.0534148764206533
"9",1531522,"low",0.65565794570723,0.726713365772701
"10",1531528,"low",0.277573241969702,0.181682500220861
"11",1531532,"low",0.43010908091792,0.599412024228715
"12",1531534,"low",0.718290989365184,0.35063670223983
"13",1531536,"low",0.823992758013674,1.1235143141707
"14",1531537,"low",1.63399146573775,1.40295080590626
"15",1531542,"low",0.288181908447264,0.43010908091792
"16",1531544,"low",0.48764158345598,0.405223324805514
"17",1531546,"low",0.802951523322209,0.604551341639779
"18",1531550,"low",0.415496272690055,0.805682525991375
"19",1531551,"low",1.06767633113228,1.48834359636874
"20",1531554,"low",0.336351174557694,0.557199179565226
"21",1531555,"low",0.604551341639779,4.65269574808168
"22",1531556,"low",1.20816279258748,1.76660514195068
"23",1531557,"low",0.591869418403493,0.775915758278175
"24",1531560,"low",0.54503086555184,0.554512887084912
"25",1531561,"low",0.215678432365642,0.342768531012948
"26",1531566,"low",0.267457623582138,0
"27",1531569,"low",1.11226693283587,1.37987220721436
"28",1531571,"low",0.0553189984445938,-0.0534148764206533
"29",1531572,"low",-0.13261367621293,0.127314364242791
"30",1531574,"low",0.606994595283491,0.431395661977465
"31",1531581,"low",0.255518243845799,0.710976944151824
"32",1531585,"low",1.32528558464868,1.59990851629185
"33",1531586,"low",0.822604107521542,0.770191319450554
"34",1531588,"low",0.161091809799958,0.603808798139831
"35",1531590,"low",1.14108602506974,1.75018553472034
"36",1531591,"low",0.967946081936364,1.09452758901311
"37",1531592,"low",0.107059392414909,0.163938038395327
"38",1531593,"low",-0.220183959873842,0.673068849778445
"39",1531600,"low",1.03920859056852,1.74484209143438
"40",1531605,"low",0.111564919923109,1.31568824886371
"41",1531607,"low",1.25082867841349,1.25612799038363
"42",1531612,"high",0.609099509650596,1.17008789590359
"43",1531613,"low",0.482389438962514,0.726222301711786
"44",1531615,"low",0.396800948397997,0.396800948397997
"45",1531620,"low",0.119227706428295,0.798659060014315
"46",1531621,"low",1.23779166101176,1.7160757309757
"47",1531622,"low",-0.227726565699064,0.512900258184819
"48",1531625,"low",0.377751145983209,0.187764138083095
"49",1531626,"low",2.38198191659882,2.43937119869468
"50",1531628,"low",0.591869418403493,0.277573241969702
"51",1531632,"low",0.630073193975387,1.00379554368149
"52",1531634,"high",0.595333700372792,1.06306454033039
"53",1531638,"low",-0.295317703795236,0.116167214683851
"54",1531639,"low",0,0.373574698909748
"55",1531640,"low",0.591869418403493,0.708968903947167
"56",1531643,"low",0.336351174557694,0.783611583807646
"57",1531644,"low",0.331217757963958,-0.108619039950733
"58",1531645,"low",1.0803521294139,0.385871995246074
"59",1531647,"low",0.822604107521542,0.606994595283491
"60",1531654,"low",0.726713365772701,1.12917262106103
"61",1531656,"high",0.156464057066912,-0.418195676909206
"62",1531657,"low",1.22572950053224,1.12917262106103
"63",1531663,"low",1.38984529280835,1.06914617819263
"64",1531664,"low",1.11209429695786,0.65565794570723
"65",1531665,"low",0.698928810818402,0.342768531012948
"66",1531666,"low",0.215678432365642,0.109905621010278
"67",1531669,"low",0.541674000841029,0.712427838090565
"68",1531670,"low",1.54630934987526,2.04285648345365
"69",1531671,"low",0.0536445159942559,-0.107059392414909
"70",1531677,"low",0.484695703483604,0.448022357774486
"71",1531679,"low",0.350276059598228,0.930589550617783
"72",1531680,"low",0.482389438962514,0.819595984102557
"73",1531684,"low",0.303931352766946,0.4796802310407
"74",1531688,"low",0.161091809799958,0
"75",1531691,"low",1.11476889745899,0.673068849778445
"76",1531692,"low",0.554512887084912,0.839857505286161
"77",1531693,"low",0.342768531012948,1.12109120755293
"78",1531695,"low",1.34250103206595,0.899090465093349
"79",1531696,"low",0.726222301711786,0.342768531012948
"80",1531697,"low",0.541674000841029,0.321490040967187
"81",1531698,"low",0.873240500096813,0.537837001018444
"82",1531699,"high",0.380582191041071,1.02326508038096
"83",1531702,"low",0,0.0562459214785153
"84",1531704,"low",-0.111564919923109,0.321490040967187
"85",1531705,"high",0.485428079362514,0.835332405723434
"86",1531706,"low",0.726222301711786,0.64592224260827
"87",1531709,"low",0.48325037845276,0.485428079362514
"88",1531712,"low",0.161091809799958,0.48764158345598
"89",1531715,"low",0.233996117330275,1.22876814093224
"90",1531716,"low",-0.0604497738403036,1.01760770113792
"91",1531718,"low",1.17008789590359,0.791572936222926
"92",1531720,"low",0.396800948397997,0.326780752477951
"93",1531721,"low",0.651579621851307,1.59801927591175
"94",1531722,"low",0.544539801490925,0.941831813949837
"95",1531723,"low",0.603808798139831,0.765214825425683
"96",1531725,"low",0.327243352288752,0.214430648552278
"97",1531730,"high",1.14108602506974,0.952505341514003
"98",1531731,"low",0.107676933379305,1.01433749237996
"99",1531732,"high",0.684659816541071,0.321490040967187
"100",1531733,"low",1.00379554368149,1.06914617819263
"101",1531734,"low",0.599063282936889,0.835332405723434
"102",1531735,"low",1.21760865126937,1.61386832454463
"103",1531736,"low",0.327243352288751,-0.106753715172973
"104",1531738,"low",0.835332405723434,1.07951100185947
"105",1531739,"low",0.828196610375462,0.540014701928198
"106",1531740,"low",0.58815162019508,0.524115312640789
"107",1531741,"low",0.503860340812906,0.609099509650596
"108",1531742,"low",-0.270997430810236,0.360177274245461
"109",1531744,"low",0.881382040109534,1.00060974653783
"110",1531745,"low",0.629704857995346,1.34250103206595
"111",1531748,"low",1.2726651640031,1.65729779838771
"112",1531751,"low",0.227726565699064,0.0562459214785151
"113",1531765,"high",0.718290989365184,0.890651404168028
"114",1531777,"high",0.663131927035645,0.884442531853978
"115",1531778,"high",2.02936459723469,1.83786765058283
"116",1531783,"high",0.303931352766946,0.684513543808017
"117",1531785,"high",0.645513934397749,0.342768531012948
"118",1531795,"high",0.716776443029901,0.873240500096813
"119",1531797,"high",1.28372309947796,0.823992758013674
"120",1531804,"high",1.1108549360964,1.5052492845939
"121",1531812,"high",1.16591144883012,0.520397514432375
"122",1531819,"high",-0.139016614394856,0.599063282936889
"123",1531820,"high",0.859327041985631,1.09452758901311
"124",1531822,"high",1.43519120565895,1.9715939748215
"125",1531824,"high",-0.503860340812906,0.54503086555184
"126",1531826,"high",0.718290989365184,1.15077351049163
"127",1531834,"high",1.32739049901578,1.59372147765343
"128",1531840,"high",0.22773213460696,0.360177274245461
"129",1531843,"high",0.324336269562556,0.718290989365184
"130",1531844,"high",0.64592224260827,1.18882351856828
"131",1531845,"high",1.16948357905372,0.952505341514003
"132",1531847,"high",1.00060974653783,0.54503086555184
"133",1531851,"high",0.698928810818402,0.85324568258
"134",1531854,"high",1.11476889745899,1.82106320090503
"135",1531859,"high",1.49672693134247,0.783611583807646
"136",1531862,"high",0.540014701928198,0.664258571980135
"137",1531864,"high",0.653649905502573,0.726713365772701
"138",1531873,"high",0.604551341639779,0.987062233177789
"139",1531875,"high",1.07385362261644,0.949763126296439
"140",1531877,"high",0.0755603068904762,0.823992758013674
"141",1531878,"high",0.924935793574346,0.499099427085642
"142",1531879,"high",0.214576921285332,0.166151542488793
"143",1531880,"high",0.78074578315775,0.557199179565226
"144",1531881,"high",0.371685458529651,0.449135005800223
"145",1531883,"high",0.161091809799958,0.0562459214785153
"146",1531884,"high",1.03340909169044,0.941831813949837
"147",1531890,"high",0.542022742132855,-0.0755603068904757
"148",1531900,"high",0.385558685065943,0.865552226286774
"149",1531902,"high",0.967946081936364,0.279436491735558
"150",1531907,"high",0.326780752477951,0.405223324805514
"151",1531909,"high",1.06767633113228,0.684513543808017
"152",1531911,"high",0.550164282145576,0.645513934397749
"153",1531914,"high",0.450445464392253,0.0562459214785153
"154",1531918,"high",1.07951100185947,1.59372147765343
