Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-85j6,branch-4ivo,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,imagefile,ANSWER,CUE, TARGET,font
1,1592803314509,22/06/2020 05:21:54,1592803313000,-7,21/06/2020 22:21:53,20464,5,task-tfoj,,5727251,BLIND,1599993,,complete,,5ef03fd4a38318561d3fae68,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1366x768,1266x657,,Recog,4,SH1,I consent,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,
2,1592803318500,22/06/2020 05:21:58,1592803317039,-7,21/06/2020 22:21:57,20464,5,task-tfoj,,5727251,BLIND,1599993,,complete,,5ef03fd4a38318561d3fae68,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1366x768,1266x657,,Recog,4,SH1,I consent,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4004,,,,,0,1,0,,,,,,introduction,,,,,
3,1592803320468,22/06/2020 05:22:00,1592803318997,-7,21/06/2020 22:21:58,20464,5,task-tfoj,,5727251,BLIND,1599993,,complete,,5ef03fd4a38318561d3fae68,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1366x768,1266x657,,Recog,4,SH1,I consent,Spreadsheet1,7,1,1,Screen 2,Zone2,continue_button,1945.000000000001,,,,,0,1,0,,,,,1,study,yard-a.jpeg,,FENCE,YARD,a
4,1592803322032,22/06/2020 05:22:02,1592803320566,-7,21/06/2020 22:22:00,20464,5,task-tfoj,,5727251,BLIND,1599993,,complete,,5ef03fd4a38318561d3fae68,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1366x768,1266x657,,Recog,4,SH1,I consent,Spreadsheet1,19,2,1,Screen 2,Zone2,continue_button,1557.999999999999,,,,,0,1,0,,,,,1,study,patience-sf.jpeg,,VIRTUE,PATIENCE,sf
5,1592803323762,22/06/2020 05:22:03,1592803322304,-7,21/06/2020 22:22:02,20464,5,task-tfoj,,5727251,BLIND,1599993,,complete,,5ef03fd4a38318561d3fae68,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1366x768,1266x657,,Recog,4,SH1,I consent,Spreadsheet1,20,3,1,Screen 2,Zone2,continue_button,1728,,,,,0,1,0,,,,,1,study,candle-a.jpeg,,WAX,CANDLE,a
6,1592803324481,22/06/2020 05:22:04,1592803322984,-7,21/06/2020 22:22:02,20464,5,task-tfoj,,5727251,BLIND,1599993,,complete,,5ef03fd4a38318561d3fae68,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1366x768,1266x657,,Recog,4,SH1,I consent,Spreadsheet1,4,4,1,Screen 2,Zone2,continue_button,671,,,,,0,1,0,,,,,1,study,potato-a.jpeg,,CHIP,POTATO,a
7,1592803325938,22/06/2020 05:22:05,1592803324482,-7,21/06/2020 22:22:04,20464,5,task-tfoj,,5727251,BLIND,1599993,,complete,,5ef03fd4a38318561d3fae68,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1366x768,1266x657,,Recog,4,SH1,I consent,Spreadsheet1,11,5,1,Screen 2,Zone2,continue_button,1489,,,,,0,1,0,,,,,1,study,destory-sf.jpeg,,KILL,DESTROY,sf
8,1592803326797,22/06/2020 05:22:06,1592803325338,-7,21/06/2020 22:22:05,20464,5,task-tfoj,,5727251,BLIND,1599993,,complete,,5ef03fd4a38318561d3fae68,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1366x768,1266x657,,Recog,4,SH1,I consent,Spreadsheet1,16,6,1,Screen 2,Zone2,continue_button,847.0000000000018,,,,,0,1,0,,,,,1,study,trail-sf.jpeg,,PATH,TRAIL,sf
9,1592803327660,22/06/2020 05:22:07,1592803326195,-7,21/06/2020 22:22:06,20464,5,task-tfoj,,5727251,BLIND,1599993,,complete,,5ef03fd4a38318561d3fae68,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1366x768,1266x657,,Recog,4,SH1,I consent,Spreadsheet1,13,7,1,Screen 2,Zone2,continue_button,848,,,,,0,1,0,,,,,1,study,contact-sf.jpeg,,LENS,CONTACT,sf
10,1592803328176,22/06/2020 05:22:08,1592803326716,-7,21/06/2020 22:22:06,20464,5,task-tfoj,,5727251,BLIND,1599993,,complete,,5ef03fd4a38318561d3fae68,computer,Desktop or Laptop,Mac OS 10.15.5,Safari 13.1.1,1366x768,1266x657,,Recog,4,SH1,I consent,Spreadsheet1,5,8,1,Screen 2,Zone2,continue_button,512.0000000000018,,,,,0,1,0,,,,,1,study,swim-sf.jpeg,,DIVE,SWIM,sf
