"","id","font","cond","acc","new_id","Typeface","timed"
"108","5c8961a1d810a700149dcfda","SF","self-paced",0.0833333333333333,"54","Sans Forgetica","Self-paced"
"109","5cb147e6c567c000012a6d51","flu","self-paced",0.5,"55","Arial","Self-paced"
"110","5cb147e6c567c000012a6d51","SF","self-paced",0.666666666666667,"55","Sans Forgetica","Self-paced"
"111","5cb1cd86637a05000187532b","flu","self-paced",0.333333333333333,"56","Arial","Self-paced"
"112","5cb1cd86637a05000187532b","SF","self-paced",0.333333333333333,"56","Sans Forgetica","Self-paced"
"113","5cba9a8a214b1a0016ccf708","flu","self-paced",0.666666666666667,"57","Arial","Self-paced"
"114","5cba9a8a214b1a0016ccf708","SF","self-paced",0.333333333333333,"57","Sans Forgetica","Self-paced"
"115","5cbdc6f1214b1a0015ccfbab","flu","timed",0,"58","Arial","Timed"
"116","5cbdc6f1214b1a0015ccfbab","SF","timed",0.333333333333333,"58","Sans Forgetica","Timed"
"117","5ce753de5434fd001b47e9fc","flu","timed",0.583333333333333,"59","Arial","Timed"
"118","5ce753de5434fd001b47e9fc","SF","timed",0.583333333333333,"59","Sans Forgetica","Timed"
"119","5ce85638c13fb9001a9d0d32","flu","self-paced",0.5,"60","Arial","Self-paced"
"120","5ce85638c13fb9001a9d0d32","SF","self-paced",0.416666666666667,"60","Sans Forgetica","Self-paced"
"121","5d16ab9b59da87001ac41a61","flu","timed",0.166666666666667,"61","Arial","Timed"
"122","5d16ab9b59da87001ac41a61","SF","timed",0.333333333333333,"61","Sans Forgetica","Timed"
"123","5d1d0270601cd7000172942f","flu","self-paced",0.333333333333333,"62","Arial","Self-paced"
"124","5d1d0270601cd7000172942f","SF","self-paced",0.666666666666667,"62","Sans Forgetica","Self-paced"
"125","5d206e075278fa001848134d","flu","self-paced",0.583333333333333,"63","Arial","Self-paced"
"126","5d206e075278fa001848134d","SF","self-paced",0.333333333333333,"63","Sans Forgetica","Self-paced"
"127","5d295e07d3edf9001a801625","flu","timed",0.666666666666667,"64","Arial","Timed"
