"","id","cond","flu","SF","totalCorrect","ArialProp","SFProp","totalProp","totalArialProp","totalSFProp"
"1","546a979ffdf99b3f01f121a2","timed",4,4,8,0.333333333333333,0.333333333333333,0.333333333333333,0.166666666666667,0.166666666666667
"2","548cdd6bfdf99b586046fb39","timed",5,1,6,0.416666666666667,0.0833333333333333,0.25,0.208333333333333,0.0416666666666667
"3","5588ee6ffdf99b304dd48297","self-paced",1,3,4,0.0833333333333333,0.25,0.166666666666667,0.0416666666666667,0.125
"4","5589b65afdf99b118adfa595","timed",1,2,3,0.0833333333333333,0.166666666666667,0.125,0.0416666666666667,0.0833333333333333
"5","55c958fefdf99b6ca640bac2","self-paced",6,5,11,0.5,0.416666666666667,0.458333333333333,0.25,0.208333333333333
"6","56511e48715ff50011a436c2","self-paced",0,1,1,0,0.0833333333333333,0.0416666666666667,0,0.0416666666666667
"7","56c9b9ce10a82f000cffd262","timed",1,1,2,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0416666666666667,0.0416666666666667
"8","5730e42cdd66170008d9ad96","timed",2,5,7,0.166666666666667,0.416666666666667,0.291666666666667,0.0833333333333333,0.208333333333333
"9","575865ba7b74a80006de2689","self-paced",4,1,5,0.333333333333333,0.0833333333333333,0.208333333333333,0.166666666666667,0.0416666666666667
"10","57a761c22fc0d400012c9656","timed",3,2,5,0.25,0.166666666666667,0.208333333333333,0.125,0.0833333333333333
"11","57d6c903722df500017f377a","timed",0,10,10,0,0.833333333333333,0.416666666666667,0,0.416666666666667
"12","58d7896b4240e5000118f705","self-paced",4,4,8,0.333333333333333,0.333333333333333,0.333333333333333,0.166666666666667,0.166666666666667
"13","58ed2be2a083320001a13783","self-paced",0,2,2,0,0.166666666666667,0.0833333333333333,0,0.0833333333333333
"14","59060035fa5ffd00017c6897","timed",3,8,11,0.25,0.666666666666667,0.458333333333333,0.125,0.333333333333333
"15","596c36966956b40001c59d4e","timed",5,6,11,0.416666666666667,0.5,0.458333333333333,0.208333333333333,0.25
"16","5971678a888ab80001040d2d","timed",4,6,10,0.333333333333333,0.5,0.416666666666667,0.166666666666667,0.25
