"","participant_private_id","condition1","testexpect","cr","fa","hit","miss","hr","zhr","zfa","dprime"
"1",1531474,"Arial","low",37,0.212765957446809,21,26,0.446808510638298,-0.133728811791069,-0.796860738826714,0.663131927035645
"2",1531474,"Sans Forgetica","low",36,0.234042553191489,20,27,0.425531914893617,-0.187761229176118,-0.725598230194562,0.537837001018444
"3",1531487,"Arial","low",25,0.468085106382979,20,27,0.425531914893617,-0.187761229176118,-0.0800842957968131,-0.107676933379305
"4",1531487,"Sans Forgetica","low",26,0.446808510638298,23,24,0.48936170212766,-0.0266694193761599,-0.133728811791069,0.107059392414909
"5",1531488,"Arial","low",40,0.148936170212766,20,27,0.425531914893617,-0.187761229176118,-1.04100691175612,0.85324568258
"6",1531488,"Sans Forgetica","low",34,0.276595744680851,32,15,0.680851063829787,0.470079986348763,-0.592984553981632,1.06306454033039
"7",1531494,"Arial","low",47,0.01,42,5,0.893617021276596,1.24599574462694,-2.32634787404084,3.57234361866778
"8",1531494,"Sans Forgetica","low",47,0.01,42,5,0.893617021276596,1.24599574462694,-2.32634787404084,3.57234361866778
"9",1531503,"Arial","low",30,0.361702127659574,18,29,0.382978723404255,-0.297666850186396,-0.353912771664911,0.0562459214785151
"10",1531503,"Sans Forgetica","low",12,0.74468085106383,32,15,0.680851063829787,0.470079986348763,0.657844124431857,-0.187764138083095
"11",1531504,"Arial","low",43,0.0851063829787234,23,24,0.48936170212766,-0.0266694193761599,-1.37152047280283,1.34485105342667
"12",1531504,"Sans Forgetica","low",38,0.191489361702128,21,26,0.446808510638298,-0.133728811791069,-0.87242104571719,0.738692233926121
"13",1531518,"Arial","low",35,0.25531914893617,27,20,0.574468085106383,0.187761229176118,-0.657844124431858,0.845605353607976
"14",1531518,"Sans Forgetica","low",26,0.446808510638298,36,11,0.765957446808511,0.725598230194562,-0.133728811791069,0.859327041985631
"15",1531520,"Arial","low",23,0.51063829787234,24,23,0.51063829787234,0.0266694193761598,0.0266694193761598,0
"16",1531520,"Sans Forgetica","low",22,0.531914893617021,24,23,0.51063829787234,0.0266694193761598,0.0800842957968131,-0.0534148764206533
"17",1531522,"Arial","low",39,0.170212765957447,18,29,0.382978723404255,-0.297666850186396,-0.953324795893626,0.65565794570723
"18",1531522,"Sans Forgetica","low",34,0.276595744680851,26,21,0.553191489361702,0.133728811791069,-0.592984553981632,0.726713365772701
"19",1531528,"Arial","low",21,0.553191489361702,31,16,0.659574468085106,0.411302053760771,0.133728811791069,0.277573241969702
"20",1531528,"Sans Forgetica","low",16,0.659574468085106,34,13,0.723404255319149,0.592984553981632,0.411302053760771,0.181682500220861
"21",1531532,"Arial","low",28,0.404255319148936,27,20,0.574468085106383,0.187761229176118,-0.242347851741802,0.43010908091792
"22",1531532,"Sans Forgetica","low",17,0.638297872340426,39,8,0.829787234042553,0.953324795893626,0.353912771664911,0.599412024228715
"23",1531534,"Arial","low",33,0.297872340425532,27,20,0.574468085106383,0.187761229176118,-0.530529760189066,0.718290989365184
"24",1531534,"Sans Forgetica","low",19,0.595744680851064,34,13,0.723404255319149,0.592984553981632,0.242347851741802,0.35063670223983
"25",1531536,"Arial","low",30,0.361702127659574,32,15,0.680851063829787,0.470079986348763,-0.353912771664911,0.823992758013674
"26",1531536,"Sans Forgetica","low",33,0.297872340425532,34,13,0.723404255319149,0.592984553981632,-0.530529760189066,1.1235143141707
"27",1531537,"Arial","low",40,0.148936170212766,34,13,0.723404255319149,0.592984553981632,-1.04100691175612,1.63399146573775
"28",1531537,"Sans Forgetica","low",38,0.191489361702128,33,14,0.702127659574468,0.530529760189066,-0.87242104571719,1.40295080590626
"29",1531542,"Arial","low",33,0.297872340425532,19,28,0.404255319148936,-0.242347851741802,-0.530529760189066,0.288181908447264
"30",1531542,"Sans Forgetica","low",27,0.425531914893617,28,19,0.595744680851064,0.242347851741802,-0.187761229176118,0.43010908091792
"31",1531544,"Arial","low",26,0.446808510638298,30,17,0.638297872340426,0.353912771664911,-0.133728811791069,0.48764158345598
"32",1531544,"Sans Forgetica","low",20,0.574468085106383,34,13,0.723404255319149,0.592984553981632,0.187761229176118,0.405223324805514
"33",1531546,"Arial","low",3,0.936170212765957,47,NA,0.99,2.32634787404084,1.52339635071863,0.802951523322209
"34",1531546,"Sans Forgetica","low",2,0.957446808510638,47,NA,0.99,2.32634787404084,1.72179653240106,0.604551341639779
"35",1531550,"Arial","low",35,0.25531914893617,19,28,0.404255319148936,-0.242347851741802,-0.657844124431858,0.415496272690055
"36",1531550,"Sans Forgetica","low",25,0.468085106382979,36,11,0.765957446808511,0.725598230194562,-0.0800842957968131,0.805682525991375
"37",1531551,"Arial","low",40,0.148936170212766,24,23,0.51063829787234,0.0266694193761598,-1.04100691175612,1.06767633113228
"38",1531551,"Sans Forgetica","low",42,0.106382978723404,28,19,0.595744680851064,0.242347851741802,-1.24599574462694,1.48834359636874
"39",1531554,"Arial","low",32,0.319148936170213,21,26,0.446808510638298,-0.133728811791069,-0.470079986348763,0.336351174557694
"40",1531554,"Sans Forgetica","low",33,0.297872340425532,24,23,0.51063829787234,0.0266694193761598,-0.530529760189066,0.557199179565226
"41",1531555,"Arial","low",2,0.957446808510638,47,NA,0.99,2.32634787404084,1.72179653240106,0.604551341639779
"42",1531555,"Sans Forgetica","low",47,0.01,NA,47,0.99,2.32634787404084,-2.32634787404084,4.65269574808168
"43",1531556,"Arial","low",37,0.212765957446809,31,16,0.659574468085106,0.411302053760771,-0.796860738826714,1.20816279258748
"44",1531556,"Sans Forgetica","low",40,0.148936170212766,36,11,0.765957446808511,0.725598230194562,-1.04100691175612,1.76660514195068
"45",1531557,"Arial","low",21,0.553191489361702,36,11,0.765957446808511,0.725598230194562,0.133728811791069,0.591869418403493
"46",1531557,"Sans Forgetica","low",15,0.680851063829787,42,5,0.893617021276596,1.24599574462694,0.470079986348763,0.775915758278175
"47",1531560,"Arial","low",26,0.446808510638298,31,16,0.659574468085106,0.411302053760771,-0.133728811791069,0.54503086555184
"48",1531560,"Sans Forgetica","low",19,0.595744680851064,37,10,0.787234042553192,0.796860738826714,0.242347851741802,0.554512887084912
"49",1531561,"Arial","low",28,0.404255319148936,23,24,0.48936170212766,-0.0266694193761599,-0.242347851741802,0.215678432365642
"50",1531561,"Sans Forgetica","low",20,0.574468085106383,33,14,0.702127659574468,0.530529760189066,0.187761229176118,0.342768531012948
"51",1531566,"Arial","low",26,0.446808510638298,26,21,0.553191489361702,0.133728811791069,-0.133728811791069,0.267457623582138
"52",1531566,"Sans Forgetica","low",14,0.702127659574468,33,14,0.702127659574468,0.530529760189066,0.530529760189066,0
"53",1531569,"Arial","low",42,0.106382978723404,21,26,0.446808510638298,-0.133728811791069,-1.24599574462694,1.11226693283587
"54",1531569,"Sans Forgetica","low",41,0.127659574468085,28,19,0.595744680851064,0.242347851741802,-1.13752435547256,1.37987220721436
"55",1531571,"Arial","low",29,0.382978723404255,19,28,0.404255319148936,-0.242347851741802,-0.297666850186396,0.0553189984445938
"56",1531571,"Sans Forgetica","low",22,0.531914893617021,24,23,0.51063829787234,0.0266694193761598,0.0800842957968131,-0.0534148764206533
"57",1531572,"Arial","low",34,0.276595744680851,11,36,0.234042553191489,-0.725598230194562,-0.592984553981632,-0.13261367621293
"58",1531572,"Sans Forgetica","low",35,0.25531914893617,14,33,0.297872340425532,-0.530529760189066,-0.657844124431858,0.127314364242791
"59",1531574,"Arial","low",41,0.127659574468085,14,33,0.297872340425532,-0.530529760189066,-1.13752435547256,0.606994595283491
"60",1531574,"Sans Forgetica","low",29,0.382978723404255,26,21,0.553191489361702,0.133728811791069,-0.297666850186396,0.431395661977465
"61",1531581,"Arial","low",36,0.234042553191489,15,32,0.319148936170213,-0.470079986348763,-0.725598230194562,0.255518243845799
"62",1531581,"Sans Forgetica","low",39,0.170212765957447,19,28,0.404255319148936,-0.242347851741802,-0.953324795893626,0.710976944151824
"63",1531585,"Arial","low",41,0.127659574468085,27,20,0.574468085106383,0.187761229176118,-1.13752435547256,1.32528558464868
"64",1531585,"Sans Forgetica","low",42,0.106382978723404,30,17,0.638297872340426,0.353912771664911,-1.24599574462694,1.59990851629185
"65",1531586,"Arial","low",31,0.340425531914894,31,16,0.659574468085106,0.411302053760771,-0.411302053760771,0.822604107521542
"66",1531586,"Sans Forgetica","low",23,0.51063829787234,37,10,0.787234042553192,0.796860738826714,0.0266694193761598,0.770191319450554
"67",1531588,"Arial","low",27,0.425531914893617,23,24,0.48936170212766,-0.0266694193761599,-0.187761229176118,0.161091809799958
