"","participant_private_id","testexpect","Sans Forgetica","Arial"
"124",1531592,"Low Test Expectancy",90,100
"125",1531613,"Low Test Expectancy",100,100
"126",1531620,"Low Test Expectancy",100,100
"127",1531625,"Low Test Expectancy",60,60
"128",1531643,"Low Test Expectancy",50,100
"129",1531663,"Low Test Expectancy",95,100
"130",1531666,"Low Test Expectancy",0,2
"131",1531670,"Low Test Expectancy",20,50
"132",1531591,"Low Test Expectancy",99,100
"133",1531691,"Low Test Expectancy",90,93
"134",1531702,"Low Test Expectancy",10,10
"135",1531712,"Low Test Expectancy",40,40
"136",1531720,"Low Test Expectancy",80,100
"137",1531715,"Low Test Expectancy",2,1
"138",1531723,"Low Test Expectancy",60,20
"139",1531742,"Low Test Expectancy",70,70
"140",1531739,"Low Test Expectancy",80,80
"141",1531748,"Low Test Expectancy",35,35
"142",1532156,"Low Test Expectancy",50,NA
"143",1532226,"Low Test Expectancy",70,82
"144",1531494,"Low Test Expectancy",100,100
"145",1531503,"Low Test Expectancy",35,45
"146",1531522,"Low Test Expectancy",97,98
"147",1531528,"Low Test Expectancy",75,100
"148",1531537,"Low Test Expectancy",85,80
"149",1531560,"Low Test Expectancy",100,100
"150",1531569,"Low Test Expectancy",50,100
"151",1531572,"Low Test Expectancy",100,100
"152",1531585,"Low Test Expectancy",50,50
"153",1531600,"Low Test Expectancy",10,5
"154",1531615,"Low Test Expectancy",75,90
"155",1531626,"Low Test Expectancy",15,50
"156",1531645,"Low Test Expectancy",2,2
"157",1531657,"Low Test Expectancy",80,80
"158",1531654,"Low Test Expectancy",50,50
"159",1531669,"Low Test Expectancy",50,50
"160",1531677,"Low Test Expectancy",100,100
"161",1531693,"Low Test Expectancy",75,75
"162",1531696,"Low Test Expectancy",60,80
"163",1531680,"Low Test Expectancy",25,25
"164",1531706,"Low Test Expectancy",90,90
"165",1531718,"Low Test Expectancy",20,20
"166",1531722,"Low Test Expectancy",75,75
"167",1531736,"Low Test Expectancy",70,40
"168",1531735,"Low Test Expectancy",100,100
"169",1531731,"Low Test Expectancy",35,75
"170",1531593,"Low Test Expectancy",100,100
"171",1532152,"Low Test Expectancy",100,100
"172",1532209,"Low Test Expectancy",75,95
"173",1531488,"Low Test Expectancy",98,100
"174",1531518,"Low Test Expectancy",98,100
"175",1531542,"Low Test Expectancy",85,75
"176",1531550,"Low Test Expectancy",80,80
"177",1531546,"Low Test Expectancy",10,NA
"178",1531556,"Low Test Expectancy",95,100
"179",1531566,"Low Test Expectancy",75,85
"180",1531581,"Low Test Expectancy",65,70
"181",1531588,"Low Test Expectancy",100,100
"182",1531607,"Low Test Expectancy",100,100
"183",1531628,"Low Test Expectancy",60,95
"184",1531632,"Low Test Expectancy",50,60
"185",1531644,"Low Test Expectancy",50,60
"186",1531640,"Low Test Expectancy",15,15
"187",1531665,"Low Test Expectancy",99,100
"188",1531671,"Low Test Expectancy",3,3
"189",1531684,"Low Test Expectancy",80,85
"190",1531692,"Low Test Expectancy",60,50
"191",1531698,"Low Test Expectancy",100,100
"192",1531704,"Low Test Expectancy",95,90
"193",1531709,"Low Test Expectancy",80,80
"194",1531740,"Low Test Expectancy",95,95
