key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,8.692375,-0.005284016,-0.329590489,1,0,0,9.830865,cont1,0,0,0,10,1,native foreign,0.056,0.031,0.025,native,foreign,SF,images/native-foreign-sf.png,5f627a1e4b807f1aa7e35280,2020-12-28_18h17.45.856,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea759d52b0e25c37a7b8bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,18,1,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,5f627a1e4b807f1aa7e35280,2020-12-28_18h17.45.856,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea759d52b0e25c37a7b8bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,7,1,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,5f627a1e4b807f1aa7e35280,2020-12-28_18h17.45.856,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea759d52b0e25c37a7b8bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,0,1,angle corner,0.02,0.029,0.009,angle,corner,SF,images/angle-corner-sf.png,5f627a1e4b807f1aa7e35280,2020-12-28_18h17.45.856,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea759d52b0e25c37a7b8bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,22,1,throat voice,0.039,0.02,0.019,throat ,voice ,SF,images/throat-voice-sf.png,5f627a1e4b807f1aa7e35280,2020-12-28_18h17.45.856,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea759d52b0e25c37a7b8bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,9,1,nation state,0.042,0.055,0.013,nation,state,flu,images/nation-state-arial1.png,5f627a1e4b807f1aa7e35280,2020-12-28_18h17.45.856,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea759d52b0e25c37a7b8bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,19,1,sheet cover,0.021,0.053,0.032,sheet,cover,SF,images/sheet-cover-sf.png,5f627a1e4b807f1aa7e35280,2020-12-28_18h17.45.856,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea759d52b0e25c37a7b8bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,20,1,stick branch,0.067,0.047,0.02,stick,branch,SF,images/stick-branch-sf.png,5f627a1e4b807f1aa7e35280,2020-12-28_18h17.45.856,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea759d52b0e25c37a7b8bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,8,8,2,1,child mother,0.03,0.01,0.02,child,mother,SF,images/child-mother-sf.png,5f627a1e4b807f1aa7e35280,2020-12-28_18h17.45.856,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea759d52b0e25c37a7b8bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,9,9,8,1,lunch supper,0.019,0.028,0.009,lunch,supper,flu,images/lunch-supper-arial1.png,5f627a1e4b807f1aa7e35280,2020-12-28_18h17.45.856,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea759d52b0e25c37a7b8bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,10,10,6,1,factory product,0.02,0.028,0.008,factory,product,SF,images/factory-product-sf.png,5f627a1e4b807f1aa7e35280,2020-12-28_18h17.45.856,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea759d52b0e25c37a7b8bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,11,11,11,1,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,5f627a1e4b807f1aa7e35280,2020-12-28_18h17.45.856,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea759d52b0e25c37a7b8bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
