key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Itempairs,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
y,16.134595,0.003183039,-0.306896564,1,0,0,6.951815,cont1,0,0,0,22,1,throat voice,0.039,0.02,0.019,throat ,voice ,SF,images/throat-voice-sf.png,5d16ab9b59da87001ac41a61,2020-12-28_19h37.30.823,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7a3a46872ea5caf00d6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,3,1,college student ,0.035,0.046,0.011,college,student,flu,images/college - student-arial1.png,5d16ab9b59da87001ac41a61,2020-12-28_19h37.30.823,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7a3a46872ea5caf00d6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,21,1,taste touch,0.016,0.012,0.004,taste,touch,SF,images/taste-touch-sf.png,5d16ab9b59da87001ac41a61,2020-12-28_19h37.30.823,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7a3a46872ea5caf00d6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,12,1,object symbol,0.014,0.021,0.007,object,symbol,SF,images/object-symbol-sf.png,5d16ab9b59da87001ac41a61,2020-12-28_19h37.30.823,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7a3a46872ea5caf00d6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,16,1,quarter dollar,0.061,0.027,0.034,quarter,dollar,flu,images/quarter-dollar-arial1.png,5d16ab9b59da87001ac41a61,2020-12-28_19h37.30.823,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7a3a46872ea5caf00d6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,7,1,group meeting,0.027,0.041,0.014,group,meeting,SF,images/group-meeting-sf.png,5d16ab9b59da87001ac41a61,2020-12-28_19h37.30.823,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7a3a46872ea5caf00d6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,18,1,report weather,0.015,0.024,0.009,report,weather,flu,images/report-weather-arial1.png,5d16ab9b59da87001ac41a61,2020-12-28_19h37.30.823,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7a3a46872ea5caf00d6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,11,1,novel story,0.034,0.034,0,novel,story,flu,images/novel-story-arial1.png,5d16ab9b59da87001ac41a61,2020-12-28_19h37.30.823,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7a3a46872ea5caf00d6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,8,8,20,1,stick branch,0.067,0.047,0.02,stick,branch,SF,images/stick-branch-sf.png,5d16ab9b59da87001ac41a61,2020-12-28_19h37.30.823,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7a3a46872ea5caf00d6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,9,9,0,1,angle corner,0.02,0.029,0.009,angle,corner,SF,images/angle-corner-sf.png,5d16ab9b59da87001ac41a61,2020-12-28_19h37.30.823,weird_font_low_1,2020.2.10,Win32,60,5fea697315b59ba2fdb2940e,5fea7a3a46872ea5caf00d6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
